Date Created,Tweets
2022-11-10 20:43:24+00:00,"I want to thank the young people of this nation who voted in historic numbers—again—just as you did 2 years ago.

You voted to continue addressing the climate crisis, gun violence, your personal rights and freedoms and student debt relief.

Thank you for making your voices heard."
2022-11-10 20:36:09+00:00,Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats.
2022-11-10 20:24:33+00:00,LIVE: Tune in as I address the nation about the 2022 midterm elections. https://t.co/9vawWKMJgr
2022-11-10 16:51:01+00:00,"In this midterm election, we lost fewer seats in the House than any Democratic president’s first midterm election in at least 40 years."
2022-11-10 03:50:25+00:00,You heard the man. Pitch in for Rev. Warnock tonight! https://t.co/RsgbVSBH38
2022-11-10 00:52:00+00:00,"I want to thank the young people of this nation who voted in historic numbers, just as they did two years ago.

They voted to continue addressing the climate crisis, gun violence, their personal rights and freedoms, and student debt relief."
2022-11-09 22:35:01+00:00,"Yesterday was a good day for democracy and a good day for America.

Our democracy has been tested in recent years. But with their votes, the American people have spoken and proven once again: 

Democracy is who we are."
2022-11-08 23:15:02+00:00,"As polls begin to close in certain parts of the country, if you’re in line at your polling place before it closes—stay in line.

Make your voice heard."
2022-11-08 22:00:10+00:00,"There’s only a couple hours left until polls start to close. We don’t have a minute to waste.

Confirm your polling place at https://t.co/Hy8C4mIL2M and make your voice heard."
2022-11-08 21:00:10+00:00,"Social Security.
Medicare.
The right to choose.
It’s all on the ballot. This election is too important to sit out."
2022-11-08 18:00:00+00:00,"We have a chance to build back our country in a way that’s better for everybody, Republicans want to take us backwards.

Confirm your polling location at https://t.co/Hy8C4n0lUk. https://t.co/0TAzZCyrOn"
2022-11-08 17:00:24+00:00,"If you run into any issues while trying to cast your ballot, call the Voter Assistance Hotline at  (833) 336-8683. https://t.co/YwUOQVUnYo"
2022-11-08 16:02:14+00:00,"We need all hands on deck to elect Democrats. Head to https://t.co/5a2tKE0cix to help call voters in critical battleground states.

You can make the difference in the outcome of this election."
2022-11-08 14:00:35+00:00,"Do you know where to vote?

Go to https://t.co/Hy8C4mJiSk to confirm your polling location."
2022-11-08 13:00:21+00:00,"Go vote. You can make a difference in this election. 

Confirm your polling location at https://t.co/Hy8C4n0lUk."
2022-11-08 12:00:13+00:00,"Folks, today is the day.

If you haven’t voted yet, head to https://t.co/Hy8C4mJiSk to confirm your polling location. https://t.co/hf17ighbZ4"
2022-11-07 23:50:42+00:00,"Everything Democrats have fought so hard for is on the ballot. Ahead of Election Day, I’m in Maryland to discuss what’s at stake. Tune in now.
https://t.co/JmU6na1kvC"
2022-11-07 23:14:00+00:00,"Without a single Republican vote in Congress, congressional Democrats finally beat Big Pharma.
 
Out-of-pocket prescription drug costs for seniors on Medicare cannot be higher than $2,000 a year."
2022-11-07 22:47:01+00:00,"Democrats will continue lowering every day costs like health care and prescription drugs, while Republicans will raise prices.

Make your Election Day voting plan at https://t.co/Hy8C4n0lUk today. https://t.co/t2mPXcVozB"
2022-11-07 21:23:01+00:00,"Want to help Democrats win up and down the ballot tomorrow? Help make calls to voters before Election Day!

One conversation can make all the difference.
https://t.co/7ujqdXmbmf"
2022-11-07 20:02:04+00:00,".@KathyHochul gets things done. 

New York, make your plan to vote tomorrow at https://t.co/Hy8C4mIL2M. https://t.co/GZorpOkwGK"
2022-11-07 17:30:07+00:00,"Election Day is tomorrow, folks. Confirm your polling location at https://t.co/Hy8C4mJiSk. https://t.co/sZxcdtJ72g"
2022-11-07 16:00:02+00:00,Take it from me and my friend @BarackObama: VOTE! https://t.co/vagNpBYFgg
2022-11-07 02:30:00+00:00,"Republicans in Congress have already introduced legislation to ban the right to choose nationwide, but if we elect more Senate Democrats and keep control of the House, we will codify Roe v. Wade as the law of the land."
2022-11-07 01:05:07+00:00,"Earlier this month, we helped lower the cost of hearing aids. We made them available over the counter, which could save up to $3,000 a pair for millions of Americans with hearing loss."
2022-11-07 00:06:00+00:00,"When I think of character, I think of @JohnFetterman.
When I think of courage, I think of @JoshShapiroPA.
Let’s get them elected.

Lock in your plan to vote at https://t.co/Hy8C4mIL2M before November 8. https://t.co/6K8malpHHX"
2022-11-06 23:18:14+00:00,"LIVE: I’m in Westchester County, New York, getting out the vote for Democrats right before Election Day. With two days left, there is so much at stake. Tune in.
https://t.co/4HGhTLruKX"
2022-11-06 22:33:02+00:00,"As we enter the final days of this midterm election, remember the power to shape America is in your hands. 

Head to https://t.co/Hy8C4mIL2M to make your plan to vote. https://t.co/Z2NpXdGMlC"
2022-11-06 21:30:17+00:00,It's good to get out the vote with @BarackObama in Philadelphia a few days before this critical election. https://t.co/FUWrTHf9x4
2022-11-06 20:45:03+00:00,Everything is at stake in these next 2 days. Make a plan to vote now: https://t.co/Hy8C4mIL2M
2022-11-06 16:00:02+00:00,Social Security and Medicare are on the ballot. https://t.co/dqY0Oi7qdK
2022-11-06 01:48:09+00:00,"Pennsylvania, you have the power to make @JohnFetterman your next United States senator and @JoshShapiroPA your next governor. 

There’s so much on the ballot. Make a plan to vote now: https://t.co/Hy8C4mIL2M. https://t.co/rTOET4VvKF"
2022-11-06 01:20:02+00:00,"MAGA Republicans say one of their priorities is to deny Medicare the right to negotiate drug prices and give the power back to Big Pharma so they can continue to rip us off.

Their plan would hurt working- and middle-class Americans."
2022-11-06 00:00:08+00:00,"What @BarackObama said.
https://t.co/9WSs7ourqS"
2022-11-05 21:16:53+00:00,"HAPPENING NOW: I’m in Philadelphia with my good friend @BarackObama, speaking with voters about the stakes in the midterm elections. You don’t want to miss this, folks! https://t.co/Eu22Hv4wQl"
2022-11-05 20:00:01+00:00,This is the choice we face. https://t.co/ZrNVGYNP8e
2022-11-05 18:59:59+00:00,Ask everyone you know to go to https://t.co/Hy8C4mJiSk and make a plan to vote on or before November 8.
2022-11-05 17:00:35+00:00,The oil industry has a choice: Either begin to invest in America or pay higher taxes on your excessive profits. https://t.co/Z8OqBAZ2U9
2022-11-05 14:37:07+00:00,Period. https://t.co/3wcxBy2d0c
2022-11-05 13:47:01+00:00,"This midterm election is about building a better America, but you’ve got to vote. 

Head to https://t.co/Hy8C4mIL2M today."
2022-11-05 01:30:02+00:00,Working families can’t afford the Republican agenda. https://t.co/06GI2M9Rz3
2022-11-05 00:00:25+00:00,I’m not going to apologize for helping working- and middle-class families. https://t.co/vo6J2yxnmF
2022-11-04 22:30:00+00:00,The fate of democracy is in your hands: https://t.co/Hy8C4n0lUk https://t.co/46kWLv3357
2022-11-04 21:00:35+00:00,"Senator Lindsey Graham made it clear: Republicans want a national ban on abortion. But if we elect two more Democratic senators and keep control of the House, we will codify Roe v. Wade. https://t.co/UNFw63oV9k"
2022-11-04 19:32:01+00:00,"Today’s jobs report—adding 261,000 jobs with the unemployment rate still at a historically low 3.7%—shows that our jobs recovery remains strong.  

While comments by Republican leadership sure seem to indicate they are rooting for a recession, the U.S. economy continues to grow."
2022-11-04 18:20:03+00:00,"Folks, we’re making sure everyone knows what's at stake in this election. Join me in Maryland for a grassroots rally right before Election Day. RSVP now. 
https://t.co/y2zTbXjdL2"
2022-11-04 17:00:20+00:00,Make sure you’re ready to vote on Election Day. https://t.co/Hy8C4mIL2M
2022-11-04 16:00:02+00:00,"We must, with one overwhelming unified voice, speak as a country and say there's no place for political violence in America. https://t.co/izXsylToGb"
2022-11-04 15:06:04+00:00,"Folks, no one’s gonna fight harder for New Mexico than Governor @Michelle4NM. https://t.co/jCof4lCyp8"
2022-11-04 14:00:40+00:00,This MAGA Republican Party is determined to take us backwards. https://t.co/SNBDuebZyf
2022-11-04 02:55:07+00:00,"To protect the right to choose and continue moving New Mexico forward, we must reelect Governor @Michelle4NM and vote for Democrats up and down the ballot. https://t.co/bujUVdo9W8"
2022-11-04 01:30:03+00:00,You can’t make this stuff up. https://t.co/3shSF44oz2
2022-11-03 23:00:07+00:00,"If we elect two more Democrats to the Senate and keep control of the House, we’re going to codify Roe v. Wade in January so it’s the law of the land."
2022-11-03 21:36:32+00:00,"I'm excited to join folks in New Mexico to talk about the choice voters face in the midterm elections. Listen in.
https://t.co/TJGzVBZuBn"
2022-11-03 21:30:16+00:00,Republicans want to talk about spending? Let’s compare. https://t.co/wbjsQZjxgw
2022-11-03 19:47:00+00:00,"I’m excited to join my good friend @BarackObama in Philadelphia to fire up voters ahead of the midterm elections. 

The stakes couldn’t be higher. And the choice couldn’t be clearer. Sign up.
https://t.co/5aN1iAOOea"
2022-11-03 17:30:00+00:00,Democracy is on the ballot. https://t.co/f327esxgnZ
2022-11-03 16:01:08+00:00,This midterm election is too important to sit out. Head to https://t.co/Hy8C4mIL2M to make your plan to vote today. https://t.co/agqMHID7j6
2022-11-03 13:35:03+00:00,Make a plan to cast your ballot: https://t.co/Hy8C4mJiSk. https://t.co/apHZVLhHah
2022-11-02 23:30:48+00:00,"The fate of the nation—the fate of the soul of America—lies where it always does:

With the people.

In your hands. In your hearts. And your ballot. https://t.co/Hy8C4mIL2M"
2022-11-02 23:19:27+00:00,"History and common sense tell us that liberty, opportunity, and justice thrive in a democracy—not in an autocracy.

At our best, America is not a zero-sum society where for you to succeed, someone else must fail.

The promise of America is big enough for everyone to succeed."
2022-11-02 23:18:31+00:00,All of us who reject political violence—and I believe that is the overwhelming majority of Americans—all of us must unite to make it absolutely clear violence and intimidation have no place in America.
2022-11-02 23:14:33+00:00,"Democracy is more than a form of government. It’s a way of being. A way of seeing the world.

A way that defines who we are, what we believe, and why we do what we do.

Democracy is simply that fundamental."
2022-11-02 23:12:52+00:00,"American democracy is under attack because the defeated former president of the United States refuses to accept the results of the 2020 election.

He refuses to accept the will of the people.

He refuses to accept the fact that he lost."
2022-11-02 23:07:30+00:00,"We are facing a defining moment. An inflection point.

We must with one overwhelming, unified voice speak as a country and say there is no place for voter intimidation or political violence in America, whether it’s directed at Democrats or Republicans."
2022-11-02 23:03:28+00:00,"LIVE: Tune in as I deliver remarks on preserving and protecting our democracy.
https://t.co/P8jYSWp6ms"
2022-11-02 22:31:00+00:00,"This is the most important midterm election in our lifetime. It’s going to shape what this country looks like for the next decade or more.

Make a plan to vote at https://t.co/Hy8C4mIL2M."
2022-11-02 21:39:01+00:00,I will never apologize for helping middle-class Americans. https://t.co/bqXLjdxzZ9
2022-11-02 19:30:00+00:00,"There’s nothing like a triple-thick black and white milkshake to celebrate my granddaughter Natalie’s first time voting.

Make your plan to vote early or on Election Day at https://t.co/Hy8C4mIL2M. https://t.co/o4cNMzeqsU"
2022-11-02 16:30:07+00:00,"I'm heading to New Mexico tomorrow, November 3, for a grassroots rally to discuss the importance of the midterm elections.

Join me: 
https://t.co/6lhLgUyOlo"
2022-11-02 14:15:03+00:00,"Social Security.
Medicare.
A woman’s right to choose.
Voting rights.

It’s all at stake. Vote early or on Election Day."
2022-11-02 00:55:00+00:00,"Don’t sit this election out. 

Vote early or on Election Day. https://t.co/Hy8C4mIL2M"
2022-11-01 23:06:09+00:00,"With one week to go until Election Day, I’m taking the stage in Florida to rally voters and talk about the choice we face as a country. Listen in. https://t.co/plrq9G42UO"
2022-11-01 21:43:00+00:00,"I’m absolutely confident that, just as they did in 2020, the American people will again vote in record numbers and make it clear that democracy is a value that defines us and unites us as Americans.

The stakes couldn’t be higher."
2022-11-01 18:25:05+00:00,The choice for seniors is clear. https://t.co/cPi57gF2sA
2022-11-01 13:55:03+00:00,"One more week until Election Day. 

Let’s do this, America."
2022-11-01 01:27:00+00:00,"Democrats will protect Social Security.
We’ll protect Medicare.  

Republicans like Rick Scott and Ron Johnson want to put it on the chopping block."
2022-10-31 22:30:02+00:00,"With Election Day right around the corner, I’m heading to Florida to get out the vote for Democrats up and down the ballot. RSVP today to join.
https://t.co/pGAMrmca3g"
2022-10-31 20:29:01+00:00,"I know which side I’m on.
https://t.co/RBiVHJqetY"
2022-10-31 18:22:05+00:00,Make your plan to vote early or on Election Day at https://t.co/Hy8C4mIL2M.
2022-10-31 15:11:17+00:00,"If we elect more Senate Democrats and keep control of the House, we’re going to codify Roe v Wade in January. https://t.co/7fhRz8RcQY"
2022-10-30 21:45:00+00:00,"Nine more days. 

Know where to vote: https://t.co/Hy8C4n0lUk
Donate: https://t.co/UlQBLUUGoS
Volunteer: https://t.co/V9MzpvQJcq"
2022-10-30 18:01:00+00:00,"We lost over 180,000 manufacturing jobs under the last guy.

We’ve created 700,000 manufacturing jobs on my watch."
2022-10-29 23:18:11+00:00,"If we elect more Democrats to the Senate and keep the House, here is the promise I make to you and the American people: The first bill that I will send to Congress will be to codify Roe v. Wade. https://t.co/CvyB3xUzAK"
2022-10-29 20:44:00+00:00,"The previous president made a string of broken promises in places like Wisconsin, Indiana, and Ohio, where promised investments and jobs in manufacturing never materialized, but layoffs and shuttered factories did. 

Now, Made in America isn't just a slogan. It's a reality."
2022-10-29 15:08:01+00:00,"The final say on Roe v. Wade does not rest in the court. 

It does not rest with extremist Republicans in Congress.

If you do your part and vote, Democratic leaders in Congress will do their part. I’ll do my part. With your support, I will sign a law codifying Roe in January."
2022-10-29 01:21:00+00:00,"Republicans are determined to hold the economy hostage. Either give in to their demands to cut Social Security and Medicare, which millions of Americans rely on, or they’ll crash the economy. 

Let me be clear: I will not cut Social Security and Medicare."
2022-10-28 21:37:00+00:00,"In 2020, you voted and delivered the change you wanted to see in the world.

In 2022, you need to exercise your power to vote again for the future of our nation."
2022-10-28 16:00:47+00:00,"This election is a choice between two vastly different visions for America. 

Democrats are reducing everyday costs and lowering the deficit. 
Republicans are fiscally reckless and pushing tax cuts for the wealthy."
2022-10-28 14:45:05+00:00,"Under my watch, the economy has added nearly 700,000 manufacturing jobs. The last guy had a different track record.
https://t.co/z9hpuGhQo6"
2022-10-28 01:37:00+00:00,"You can’t be pro-insurrection and pro-cop. 
You can’t be pro-insurrection and pro-democracy. 
You can’t be pro-insurrection and pro-American."
2022-10-27 23:00:10+00:00,"I want to remind us how we felt when Roe v. Wade was overturned.

Anger.
Worry.
Disbelief.
 
The unbelievable fact that the Supreme Court didn’t just fail to preserve a constitutional freedom—it took away a right. 

If you care about the right to choose, you have to vote."
2022-10-27 21:20:01+00:00,"While Republicans have boldly stated that they want to cut Social Security and Medicare, Democrats will protect these programs. 

The choice couldn't be clearer."
2022-10-27 19:30:05+00:00,"Today, we got further evidence that our economic recovery is continuing to power forward. This is a testament to the resilience of the American people.

The Third Quarter GDP report shows that Americans’ incomes were up and price increases in the economy came down."
2022-10-27 17:39:01+00:00,"The extreme Republicans who have spent decades trying to overturn Roe v. Wade have no clue about the power of women. 

They’re about to find out. 

Make a plan to vote at https://t.co/Hy8C4mIL2M today."
2022-10-27 14:01:00+00:00,"In states across the country, many voters are already able to cast their ballot in the midterm elections. 

Head to https://t.co/Hy8C4n0lUk for more information. https://t.co/4Dq1uMBFgT"
2022-10-27 01:30:01+00:00,"Marjorie Taylor Greene got $180,000 in business loans forgiven from the PPP program but said it's ""completely unfair"" for us to forgive student loans for working- and middle-class Americans. 

You can’t make this stuff up."
2022-10-26 22:59:00+00:00,"We've made updated COVID-19 vaccines easy to get and available for free at tens of thousands of convenient locations. These include local pharmacies, doctor's offices, community health centers, and rural health clinics.

Find an appointment at https://t.co/EwdQ2dFHwG today."
2022-10-26 20:48:39+00:00,"If we elect more Democrats to the Senate and keep the House, here is the promise I make to you and the American people: The first bill that I will send to Congress will be to codify Roe v. Wade. https://t.co/j0jWQOGCa4"
2022-10-26 18:45:03+00:00,"As soon as I announced our student debt relief plan, Republican members of Congress and Republican governors started attacking it. Their outrage is wrong, and it is hypocritical. 

But we're not letting that get in the way."
2022-10-26 15:45:54+00:00,"If Dr. Oz gets his way, where does this end? Would he recommend local officials make decisions about cancer treatments? Colonoscopies? Or is this kind of scrutiny reserved just for women? https://t.co/aXmVfTAl1v"
2022-10-26 13:25:47+00:00,"Your vote can help move our country forward this November.

Join @BarackObama in making a plan to vote at https://t.co/Hy8C4mIL2M.
https://t.co/iPqIEp7CrE"
2022-10-26 01:39:00+00:00,"Republican governors wrote me a letter saying student debt relief only helps the “elite few.”

Ted Cruz, the great senator from Texas, said it's for slackers who don't deserve relief. 

Who in the hell do they think they are?"
2022-10-25 23:55:00+00:00,"Democrats are lowering your everyday costs like prescription drugs, health care costs, and energy bills.

Republicans have made it clear: They want to increase everyday costs."
2022-10-25 22:00:01+00:00,I don't want to hear it from MAGA Republicans. https://t.co/8FXRmZdE7C
2022-10-25 20:10:01+00:00,"Democracy is being put to the test in America. You have to defend it. Protect it. Choose it. 

We must decide whether we keep moving forward or go backwards.
https://t.co/iZHWZWdkE4"
2022-10-25 18:30:28+00:00,Call a friend and remind them to vote early or on Election Day. Go to https://t.co/V9Mzpw8kB0 to get involved. https://t.co/m8UaqsAD55
2022-10-25 16:25:02+00:00,"If you have student loan debt, you can apply for relief at https://t.co/so4PFkH2UC.

There are no forms to upload and no special log-in to remember. 

It takes less than five minutes."
2022-10-24 19:30:04+00:00,"Democrats are building a better America for everyone, with an economy that grows from the bottom up and the middle out.

Republicans are doubling down on their mega MAGA trickle-down economics that benefits the very wealthy. It failed the country before, and would fail us again."
2022-10-24 17:28:03+00:00,"With just over two weeks to go until the midterm elections, I’m thanking Democratic staff and volunteers who are getting out the vote and discussing the progress we’ve made under our leadership—including 10 million jobs since I came into office. Tune in. 
https://t.co/e0Jv5ACv3c"
2022-10-24 14:45:06+00:00,"If we elect two more Democratic senators and keep control of the House, here is my promise to the American people:

The first bill I will send to Congress will be to codify Roe v. Wade. When passed, I will sign it in January—50 years after Roe was decided the law of the land."
2022-10-23 22:30:01+00:00,Whether you’re an early voter or showing up on Election Day—get to the polls and make your voice heard.
2022-10-23 19:47:16+00:00,You can't be pro-insurrection and pro-cop. https://t.co/iwWk26Zxbm
2022-10-23 00:08:00+00:00,"Republican leaders said if they get their way, they're going to extend the Trump tax cuts and repeal the minimum corporate tax of 15% that I just signed into law. 

They would allow the many largest corporations in America to go back to paying zero in federal income tax."
2022-10-22 15:00:15+00:00,"Let's look at the facts: The federal deficit went up every single year in the Trump administration. 

On my watch, things have been different. The deficit has come down both years that I've been in office."
2022-10-22 01:17:00+00:00,This is not your father’s Republican Party. https://t.co/00twJicOdb
2022-10-21 21:32:22+00:00,Make a plan to vote: https://t.co/Hy8C4n0lUk. https://t.co/THJzus1UFU
2022-10-21 19:17:58+00:00,"This year the deficit fell by $1.4 trillion, the largest one-year drop in American history. 

Further proof that we're rebuilding the economy in a responsible way."
2022-10-21 17:11:02+00:00,I believe this is the most important off-year election that we’ve had in generations. Don’t sit this out: Sign up to get involved today by visiting https://t.co/V9MzpvQJcq.
2022-10-21 01:31:01+00:00,"When it came time to actually do something about inflation, Republicans said no. https://t.co/5Ghwqkl0Y3"
2022-10-20 22:00:02+00:00,"Democrats capped out-of-pocket drug expenses for seniors on Medicare at $2,000 a year—and every single Republican in Congress voted against it. https://t.co/MsI2jQpuZ4"
2022-10-20 17:36:00+00:00,"195 House Republicans voted against a bill to protect birth control access.

157 House Republicans voted against a bill to protect marriage equality.

210 House Republicans voted against a bill to codify Roe v. Wade.

They are determined to take this country backwards."
2022-10-20 01:34:00+00:00,"You paid for your Social Security. Every single paycheck from the time you started working.

Republicans want to put it on the chopping block."
2022-10-19 21:51:00+00:00,"MAGA forces are determined to take this country backwards.

Backwards to an America where there is no right to choose, no right to privacy, no right to contraception, no right to marry who you love.

We can’t let that happen."
2022-10-19 19:17:01+00:00,"I will never apologize for helping middle- and working-class Americans as they recover from the pandemic.

Especially not to Republicans who voted for a $2 trillion tax cut in the last administration that mainly benefitted the wealthiest Americans and the largest corporations."
2022-10-19 16:08:03+00:00,"Everything Democrats have fought so hard for is on the ballot in November, and we can't stop our progress. 

Can you help support Democrats with a donation before midnight?
https://t.co/jSpb5AuNRI"
2022-10-19 13:30:04+00:00,"My good friend @BarackObama knows what is at stake in the midterm elections. If we elect more Democrats to Congress, we can codify Roe v. Wade and move forwards, not backwards.

Go to https://t.co/Hy8C4n0lUk to make your plan to vote. 
https://t.co/o8CQYr38fM"
2022-10-18 23:39:44+00:00,"Together, we'll restore the right to choose for every woman in every state in America.

We can do this if we vote. Make a plan to vote at https://t.co/Hy8C4mJiSk."
2022-10-18 20:23:00+00:00,It’s time to pass an assault weapons ban to keep our communities safe. https://t.co/M8KqBGhFJY
2022-10-18 17:12:49+00:00,"The final say about your right to choose rests with you.

If you do your part and vote, Democratic leaders in Congress will do their part.

I’ll do my part.

With your support, I will sign a law codifying Roe in January.
https://t.co/Hy8C4n0lUk"
2022-10-18 17:07:08+00:00,"We must elect more Democrats to the Senate and keep control of the House.

If we do that, here’s the promise I make to you and the American people:

The first bill I will send to Congress will be to codify Roe v. Wade. And when Congress passes it, I will sign it in January."
2022-10-18 16:45:42+00:00,"MAGA Republicans don’t have a clue about the power of American women, but they’re about to find out. Tune in to hear how we’ll codify Roe v. Wade into law. https://t.co/pxoUTlJmbL"
2022-10-18 15:07:06+00:00,"In total, more than 40 million Americans can stand to benefit from student debt relief. About 90% of that relief is going to go to people making less than $75,000 a year.

Let me be clear: Not a dime will go to those in the top 5% income bracket. Period."
2022-10-18 00:51:00+00:00,"Republicans want a national ban on abortion—but if we elect two more Democratic senators and keep the House, we will codify Roe v. Wade. https://t.co/vyvNKzN1wG"
2022-10-17 23:26:00+00:00,"With our votes, we have the power to move our country forward. Make a plan to vote early or on Election Day! https://t.co/Hy8C4mJiSk"
2022-10-17 21:17:01+00:00,"We’re bringing relief to millions of borrowers who need it most. 

The application to apply for student debt relief is now open. Apply today: https://t.co/jHpKgsh7dY https://t.co/YJNYVSdBHt"
2022-10-17 17:00:15+00:00,"Despite opposition from some of the most powerful special interests in the nation, we're lowering health care costs and strengthening Medicare. And we're fighting for folks who need our help."
2022-10-16 23:35:00+00:00,A vast majority of House Republicans have signed on to a Republican budget to cut Medicare and Social Security.
2022-10-16 22:05:01+00:00,"Thanks to the Inflation Reduction Act, no senior in America on Medicare will have to pay more than $2,000 a year for their prescriptions, no matter how much they cost."
2022-10-16 16:32:00+00:00,"Instead of Infrastructure Week being a punch line under my predecessor, Infrastructure Decade is a headline on my watch."
2022-10-16 00:03:02+00:00,"When it came time to help our seniors, every single Republican in Congress sided with Big Pharma. https://t.co/3R51RX5lMN"
2022-10-15 20:37:00+00:00,"Yesterday, I issued an Executive Order directing the Department of Health and Human Services to put a plan on my desk within 90 days finding additional ways to lower prescription drug costs for seniors."
2022-10-15 17:17:00+00:00,"Next month, voters will have to decide. 

Democrats are working to bring down the cost of things talked about around the kitchen table—from prescription drugs to health care and more. 

Republicans are campaigning every day on an agenda to raise your costs."
2022-10-14 22:30:04+00:00,The choice is clear. https://t.co/eHHawQoTsP
2022-10-14 20:48:01+00:00,"Social Security benefits will go up by an average of $140 a month.

For the first time in 10 years, Social Security checks will go up while Medicare premiums go down."
2022-10-14 19:00:14+00:00,"The Inflation Reduction Act locks in lower health care premiums for 13 million people, lowers seniors’ prescription drug prices, and caps their out-of-pocket expenses for prescription drugs at the pharmacy at $2,000 per year."
2022-10-14 17:11:01+00:00,"We have 25 days left until the midterm elections to elect Democrats up and down the ballot. 

You can support @TheDemocrats’ efforts to fight back against MAGA Republicans ahead of this critical election by chipping in before the FEC deadline: 
https://t.co/fFpE7Ynaqu"
2022-10-13 23:38:02+00:00,"So much is at stake in these midterm elections, folks. https://t.co/6faoJ4nwia"
2022-10-13 20:45:02+00:00,"In my first year in office, I protected more lands and water than any American president since John F. Kennedy. After the previous administration rolled back protections, I restored full protections to three national monuments in Utah and New England."
2022-10-13 17:57:01+00:00,"Imagine if we elect two more Democrats to the Senate and keep the House. We'll codify Roe v. Wade, protect voting rights, and so much more.

Check your voter registration at https://t.co/Hy8C4mJiSk today."
2022-10-13 00:39:01+00:00,"We capped insulin costs for people on Medicare, but a lot of our Republican friends said, “No, we’re not going to do it for other people.” https://t.co/aKtDlTKiaA"
2022-10-12 23:02:00+00:00,"Today, using authorities under the Antiquities Act, I’m establishing the Camp Hale Continental Divide National Monument. 

This is the first new national monument of my presidency under this authority."
2022-10-12 20:30:00+00:00,"In this November’s midterm elections, Democrats, Independents, and mainstream Republicans can come together to reject extreme MAGA Republicans. https://t.co/v8K5KwNzc3"
2022-10-12 16:25:02+00:00,Senator Rick Scott has made it clear that he thinks Social Security and Medicare should be on the chopping block every five years. But we won't let him and the MAGA Republicans try to get their way: https://t.co/Hy8C4mJiSk.
2022-10-12 01:08:00+00:00,"158 House Republicans have signed on to a Republican budget that would cut Social Security and Medicare.

I have a different idea: I’ll protect Social Security and Medicare and make them stronger."
2022-10-11 18:13:02+00:00,"With only 28 days until the midterm elections, the stakes are clear: Republicans want a national abortion ban. Democrats want to codify Roe. 

Can you contribute to help elect Democrats up and down the ballot? 
https://t.co/udGGj8j2jJ"
2022-10-11 01:57:00+00:00,Ask yourself: Do you want to put your Social Security into the hands of Ted Cruz and Marjorie Taylor Greene? https://t.co/cs7XYruduV
2022-10-10 20:19:01+00:00,"Every single Democrat voted for the Inflation Reduction Act.

Every single Republican voted against it."
2022-10-10 01:09:00+00:00,"Republicans want a national ban on abortion—but if you give me two more Democratic senators and Democrats keep the House, I promise you we will codify Roe v. Wade. https://t.co/lkE2epWZiL"
2022-10-09 22:31:00+00:00,"The CHIPs and Science Act will help ensure tens of thousands of new, high-paying construction jobs."
